freq,coicop,geo\TIME_PERIOD,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,AP,AL,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,94.26,93.37,90.08,89.37,76.44,85.36,82.26
A,AP,AT,,,,,,122.36,106.51,100.04,99.9,101.18,115.0,115.21,114.42,117.01,116.84,118.78,105.65,104.93,104.87,105.55,107.42,86.11,75.16,76.9,86.32,91.03,92.74,83.61,85.91,87.26
A,AP,BE,,,,,,182.17,183.44,173.16,177.3,120.93,68.5,68.21,66.33,65.35,80.91,85.08,101.94,114.47,112.45,126.26,131.44,132.99,129.43,134.23,139.82,137.63,133.4,123.2,143.35,145.91
A,AP,BG,,,,,,190.32,190.04,197.7,204.97,188.1,178.2,160.3,153.36,155.04,151.86,159.3,161.96,175.72,158.52,157.18,155.07,149.49,155.94,155.18,156.87,172.51,175.34,164.33,167.19,147.76
A,AP,CH,,,,,,,,,,,,,,,,,,,,264.7,273.75,,,261.37,266.18,303.01,286.53,275.42,285.05,307.38
A,AP,CY,,,,,,74.82,71.3,69.76,71.68,77.15,83.73,85.52,86.48,91.74,90.92,100.01,105.65,103.24,99.41,94.66,84.67,86.49,100.92,107.63,128.56,123.27,117.16,128.21,122.42,120.0
A,AP,CZ,,,,,,185.68,189.77,211.96,192.6,184.26,195.39,144.96,141.04,153.71,142.04,112.04,111.78,110.18,107.32,109.62,101.83,96.26,95.16,146.79,149.22,155.69,145.45,134.37,155.7,152.77
A,AP,DE,,,,,,178.31,179.0,180.41,181.91,180.13,178.95,158.19,130.56,130.19,130.02,129.29,140.63,132.74,132.27,141.49,146.47,141.3,139.96,141.78,120.8,154.13,124.58,171.76,128.32,139.28
A,AP,DK,,,,,,147.91,149.28,152.32,156.57,159.8,159.34,159.14,157.17,147.41,150.81,149.67,161.88,163.58,164.14,172.4,159.32,163.67,167.05,162.18,160.12,169.69,158.24,149.89,153.24,163.71
A,AP,EA,,,,,,144.84,142.91,140.68,141.67,138.83,134.05,128.99,118.74,116.73,116.83,117.67,121.83,122.5,124.71,128.92,129.76,130.31,129.06,130.01,123.28,132.64,125.2,131.7,115.0,119.43
A,AP,EA19,,,,,,144.97,143.15,140.82,141.88,139.07,134.47,129.58,119.48,116.75,116.94,117.94,122.11,122.76,124.78,128.92,129.76,130.31,129.06,130.01,123.28,132.64,125.2,131.39,114.59,119.03
A,AP,EA20,,,,,,144.9,143.12,140.79,141.84,139.05,134.48,129.64,119.58,116.91,117.16,118.19,122.38,123.19,125.17,129.3,129.74,130.24,128.99,129.92,123.25,132.61,125.18,131.7,115.0,119.43
A,AP,EE,,,,,,86.75,92.43,97.01,97.86,84.77,81.0,78.02,80.76,96.7,97.74,104.81,107.61,106.62,109.56,108.01,78.38,91.37,87.32,90.2,82.93,94.82,121.47,120.1,58.09,57.46
A,AP,EEA,,,,,,128.8,128.4,125.68,130.02,128.4,124.71,122.2,115.68,114.87,114.37,114.73,118.77,119.21,120.97,123.59,123.18,122.45,120.12,121.58,125.5,132.85,126.36,134.03,,
A,AP,EL,,,,,,120.48,124.42,121.73,121.2,119.76,119.72,136.44,139.48,138.5,102.62,98.0,111.11,86.13,102.33,113.73,96.62,99.81,96.51,100.43,101.27,111.25,101.74,88.34,96.07,96.2
A,AP,ES,,,,,,104.03,102.1,104.54,107.84,108.37,79.95,79.94,80.66,83.4,85.71,89.33,91.87,96.32,98.17,67.11,65.9,75.17,75.02,73.38,75.44,68.05,71.22,52.63,51.11,51.68
A,AP,EU,,,,,,128.8,128.4,125.58,129.97,128.32,124.58,122.07,115.49,114.7,114.18,114.22,118.2,118.74,120.61,123.19,122.87,122.18,119.67,121.22,125.28,132.89,126.13,134.03,119.05,122.53
A,AP,EU27_2020,,,,,,150.58,149.84,147.52,148.91,146.74,142.15,135.44,126.09,124.18,123.08,123.3,126.57,127.07,128.71,131.95,132.62,131.78,129.34,131.17,125.28,132.89,126.13,134.03,119.05,122.53
A,AP,EU28,,,,,,134.73,135.17,132.27,131.83,130.55,126.86,122.17,115.62,114.89,114.44,114.51,118.49,118.74,120.61,123.19,122.87,122.18,119.67,121.22,115.68,,,,,
A,AP,FI,,,,,,,,,,,,,,,,,,,,,,118.51,122.05,120.74,118.89,113.98,111.76,122.05,119.86,120.49
A,AP,FR,,,,,,148.73,148.73,150.22,152.41,144.18,145.89,146.92,144.34,146.41,148.52,149.88,144.23,144.11,151.08,155.47,160.91,164.09,165.86,164.31,165.22,176.16,176.27,165.89,147.89,156.72
A,AP,HR,,,,,,127.63,137.19,134.26,133.09,135.45,136.2,139.72,136.14,142.47,149.15,151.67,167.77,190.63,187.92,190.31,126.57,118.64,116.87,115.85,119.66,127.91,122.79,170.69,164.67,166.24
A,AP,HU,,,,,,146.22,151.69,146.75,151.06,157.17,160.58,167.26,163.05,166.9,178.04,202.87,184.7,158.81,155.64,144.43,136.56,139.51,136.88,133.3,139.62,124.01,118.7,144.23,119.89,115.38
A,AP,IE,,,,,,48.37,50.4,52.04,55.73,58.36,65.65,59.23,58.55,53.5,52.95,56.89,52.34,50.79,52.24,48.22,50.86,44.87,43.99,44.36,46.05,46.22,80.56,73.81,33.89,35.28
A,AP,IT,,,,,,108.03,104.6,102.08,101.18,105.23,105.89,108.46,102.56,80.66,79.34,81.3,85.88,103.16,101.74,114.68,111.2,104.61,103.24,106.54,97.02,76.71,76.7,74.28,74.67,75.48
A,AP,LT,,,,,,223.72,230.76,209.81,193.58,136.09,129.57,126.95,124.88,132.42,143.06,179.01,184.58,179.33,142.42,139.91,126.72,116.04,120.31,123.29,115.47,124.7,118.54,126.43,124.1,124.13
A,AP,LU,,,,,,66.2,70.0,67.0,74.0,69.9,75.8,79.8,74.4,87.1,84.8,96.7,84.0,84.5,86.2,82.6,88.5,90.4,93.7,99.3,99.3,102.2,93.0,89.2,91.0,88.7
A,AP,LV,,,,,,172.04,166.52,117.6,126.37,118.0,116.5,109.26,95.72,112.11,127.38,143.13,142.82,142.05,135.27,108.19,105.76,109.99,107.42,109.18,116.15,107.12,105.49,159.9,105.67,103.32
A,AP,ME,,,,,,,,,,,,,,,,,,,,0.0,0.0,42.9,44.8,42.07,82.6,75.31,101.19,101.45,95.59,98.35
A,AP,MK,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.11,101.04,105.18,105.28,106.74,102.38
A,AP,MT,,,,,,79.95,78.18,69.03,68.15,72.09,85.81,82.88,82.93,92.61,99.87,103.46,112.89,115.58,117.79,111.95,110.07,114.07,111.23,115.7,109.88,111.08,104.76,102.6,99.41,98.87
A,AP,NL,,,,,,187.39,184.54,150.89,152.27,157.0,158.77,156.66,151.99,147.54,151.29,151.04,149.4,159.5,166.16,190.56,185.3,222.0,218.39,214.38,211.64,214.42,229.98,210.3,201.88,188.08
A,AP,NO,,,,,,138.28,138.45,143.19,142.05,144.68,145.03,143.35,140.84,138.96,138.93,167.95,177.62,170.0,158.92,165.26,156.39,152.72,167.78,162.89,151.88,139.96,159.94,149.69,141.08,157.48
A,AP,PL,,,,,,180.42,200.99,198.25,210.0,204.57,186.74,157.45,134.37,135.94,134.24,129.32,136.9,139.94,144.19,142.5,156.66,139.8,128.94,125.48,123.08,126.82,124.35,144.59,128.19,132.1
A,AP,PT,,,,,,114.46,110.21,113.6,113.69,117.19,116.66,117.53,118.04,151.81,162.85,161.19,170.09,127.59,131.45,108.62,96.73,110.79,117.95,116.51,118.62,126.23,122.97,110.49,110.39,112.89
