freq,currency,estruct,ecase,geo\TIME_PERIOD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,EUR,FAM,CPL_CH2_AW100,AT,4338.57,4338.57,4341.6,4516.8,4516.8,4516.8,4516.8,4516.8,4516.8,4971.4,4971.4,4896.8,4896.8,4896.8,4964.0,5031.2,5098.4,5098.4,5168.0,5168.0,5888.0,5168.0,7178.0,5992.6,6687.0
A,EUR,FAM,CPL_CH2_AW100,BE,2881.91,2857.1,2933.19,2937.96,2996.64,3082.24,3133.29,3282.12,3542.67,3610.89,3527.25,3623.3,3719.36,3773.04,3773.04,3756.04,3800.73,3876.75,3933.08,3985.78,4087.2,4312.56,4394.78,4725.7,4868.98
A,EUR,FAM,CPL_CH2_AW100,BG,,,,,,,,,306.78,429.49,429.49,429.49,429.49,429.49,521.53,521.53,521.53,521.53,552.2,552.2,552.2,552.2,674.92,539.93,674.92
A,EUR,FAM,CPL_CH2_AW100,CH,3210.73,3377.69,3511.93,3420.98,3398.11,3388.23,3335.24,3231.27,4261.69,3973.51,4346.88,4867.76,4978.01,4873.69,4939.9,5618.5,5503.58,5397.14,5194.81,5393.74,5604.86,5549.9,5971.93,6174.11,6298.55
A,EUR,FAM,CPL_CH2_AW100,CY,,,,,,683.44,683.44,683.44,,,,,,,1040.0,,,1040.0,1040.0,1055.7,1060.49,1060.49,1065.48,1182.27,1225.54
A,EUR,FAM,CPL_CH2_AW100,CZ,986.09,953.28,1121.44,968.74,892.65,885.11,813.02,1534.33,1487.14,1271.66,1298.64,595.36,582.13,563.51,531.67,536.68,541.54,556.1,851.56,850.8,825.55,1188.77,1240.74,1469.76,1404.46
A,EUR,FAM,CPL_CH2_AW100,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0
A,EUR,FAM,CPL_CH2_AW100,DK,2549.04,2630.13,2718.52,2812.66,2865.63,2921.17,2952.1,3010.23,3065.45,3120.52,3656.09,3655.54,3671.83,3728.13,3810.16,3724.78,3747.92,3763.34,3711.16,3664.3,3699.12,3733.49,3629.55,3635.0,3919.08
A,EUR,FAM,CPL_CH2_AW100,EA19,,,,,,928.04,929.92,1001.75,1028.2,1076.24,1048.82,1043.3,1058.08,1076.94,1079.85,1073.74,1073.17,1086.36,1117.19,1125.7,1284.53,1279.36,1162.9,,
A,EUR,FAM,CPL_CH2_AW100,EA20,,,,,,,,,,,,,,1074.22,1075.08,1069.03,1068.48,1083.64,1113.49,1163.02,1403.86,1261.21,1745.87,1781.75,1919.45
A,EUR,FAM,CPL_CH2_AW100,EE,287.6,287.6,345.12,345.12,460.16,460.16,460.16,460.16,460.16,460.16,460.16,460.32,460.32,460.32,460.32,1080.0,1200.0,1200.0,1320.0,1440.0,1440.0,1440.0,1440.0,1920.0,1920.0
A,EUR,FAM,CPL_CH2_AW100,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,640.0,640.0,640.0,640.0,1008.0,1008.0,1008.0,1008.0,672.0,672.0,672.0
A,EUR,FAM,CPL_CH2_AW100,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EUR,FAM,CPL_CH2_AW100,EU15,1171.05,1182.23,1204.73,1202.2,1224.11,1234.83,1257.1,1326.28,1299.25,1310.15,1324.5,1321.95,1364.16,1366.98,1390.72,1429.12,1377.4,1360.75,1379.0,1385.34,,,,,
A,EUR,FAM,CPL_CH2_AW100,EU27_2020,,,,,,,,,,,,,,1037.49,1034.11,1042.62,1205.7,1260.67,1306.25,1287.25,1534.88,1442.84,1812.35,1847.57,2108.69
A,EUR,FAM,CPL_CH2_AW100,EU28,,,,,,,,,,,,,,1182.41,1200.06,1247.54,1331.62,1369.54,1406.29,1362.66,,,,,
A,EUR,FAM,CPL_CH2_AW100,FI,2405.76,2405.76,2406.0,2406.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2526.0,2536.1,2631.84,2631.84,2631.84,2418.6,2418.6,2396.64,2396.64,2396.64,2396.64,2396.64,2596.36,2396.64,2396.64
A,EUR,FAM,CPL_CH2_AW100,FR,1250.51,1279.63,1321.88,1350.99,1350.99,1381.06,1381.06,1429.82,1422.41,1487.01,1487.01,1509.37,1524.5,1538.22,1549.74,1552.16,1553.61,1558.32,1569.97,1776.25,2259.05,1584.52,1638.58,1697.35,1762.58
A,EUR,FAM,CPL_CH2_AW100,HR,,,,,,,,,,,,,,635.67,635.67,635.67,635.67,635.67,635.67,635.67,635.67,635.67,635.67,635.62,0.0
A,EUR,FAM,CPL_CH2_AW100,HU,433.78,439.61,532.6,574.09,609.55,649.87,1089.84,1212.65,1269.13,1138.66,1158.7,1142.57,1103.54,1075.22,1033.98,1029.68,1024.92,1032.37,1000.97,981.25,908.75,890.33,815.76,835.93,807.49
A,EUR,FAM,CPL_CH2_AW100,IE,1051.34,1295.13,2060.0,2822.0,3122.4,3338.4,3549.6,3780.0,3948.0,3984.0,3600.0,3360.0,3360.0,3120.0,3120.0,3240.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3640.0,3840.0,3360.0
A,EUR,FAM,CPL_CH2_AW100,IS,2748.12,2546.94,2160.04,2095.47,2038.85,2614.92,2633.44,2580.21,2178.55,1918.1,1724.53,1552.57,2370.45,2090.97,2144.06,2057.14,2378.68,3219.15,4201.64,4116.35,4311.82,4761.96,5032.06,4029.24,5082.8
A,EUR,FAM,CPL_CH2_AW100,IT,1338.66,1338.66,1338.6,1338.6,1338.6,1338.6,1338.6,1683.0,1617.96,1644.0,1578.96,1553.04,1578.96,1617.96,1605.0,1592.04,1592.04,1617.96,1617.96,1592.04,1964.04,1872.96,4200.0,4540.2,4785.37
A,EUR,FAM,CPL_CH2_AW100,JP,0.0,0.0,0.0,0.0,446.3,438.44,821.81,744.19,787.14,920.67,2271.16,2649.6,2341.69,1850.99,1710.5,1786.91,1996.67,1894.09,1840.49,1967.05,1969.63,1847.86,1738.75,1579.05,1464.75
A,EUR,FAM,CPL_CH2_AW100,LT,0.0,0.0,0.0,0.0,174.72,347.54,347.54,361.44,361.44,361.44,361.44,361.44,361.44,361.44,361.44,364.8,0.0,0.0,1084.8,1687.2,2805.52,2668.8,2957.92,3269.28,3669.6
A,EUR,FAM,CPL_CH2_AW100,LU,4328.82,4437.1,5271.84,5326.64,5437.14,5529.12,5676.72,5676.72,7521.72,7521.72,7521.72,7521.72,7521.72,7521.72,7521.72,7521.72,7521.72,7613.64,7613.64,7613.64,7613.76,7613.76,7613.76,7664.28,7740.72
A,EUR,FAM,CPL_CH2_AW100,LV,169.04,169.04,225.38,225.38,225.38,225.38,225.38,300.51,300.51,273.12,273.12,273.12,273.12,273.12,273.12,409.68,409.68,409.68,509.68,529.68,529.68,529.68,1200.0,1200.0,1200.0
A,EUR,FAM,CPL_CH2_AW100,MT,,,,,,967.38,923.42,894.74,1057.07,1018.1,922.48,726.99,700.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,1040.0,1040.0,1220.0,1680.0
A,EUR,FAM,CPL_CH2_AW100,NL,1752.05,1604.0,1658.45,1704.69,1715.71,1715.71,1754.0,1830.0,2049.62,2200.29,1915.86,1958.9,1860.19,1891.68,1920.82,1862.0,1920.0,2059.04,2134.55,2312.93,3429.06,3439.74,3541.39,4748.75,5842.02
A,EUR,FAM,CPL_CH2_AW100,NO,2452.39,2898.46,3106.84,2914.8,2786.24,2911.65,2897.9,2904.01,2830.84,2667.34,2908.44,2987.14,3114.34,2982.05,2786.56,2601.23,2505.76,2495.98,2425.63,2533.73,2359.09,2488.96,2503.91,2503.33,3116.35
A,EUR,FAM,CPL_CH2_AW100,PL,216.96,257.56,261.07,231.84,227.98,256.52,308.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062.71,2818.89,2956.71,2233.8,2835.92,2760.01,2688.8,2774.11,4598.45
