freq,age,sex,isco08,isced11,unit,geo\TIME_PERIOD,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Y20-64,F,NRP,ED0-2,THS_PER,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Y20-64,F,NRP,ED0-2,THS_PER,BE,,,,,,,,,,470.7,,,,,,3.2,,,,,,,3.3,3.3,4.2,,,,,,,,,,,,,,,,,
A,Y20-64,F,NRP,ED0-2,THS_PER,BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Y20-64,F,NRP,ED0-2,THS_PER,CH,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,1.2,,,,,,,,,,10.3,16.0,12.6,12.2
A,Y20-64,F,NRP,ED0-2,THS_PER,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Y20-64,F,NRP,ED0-2,THS_PER,DE,,,,,,,,,,110.9,92.6,73.2,75.5,51.1,43.5,,43.7,44.9,52.6,48.9,44.9,36.4,50.7,44.3,37.9,39.5,40.2,38.2,27.3,,,,,,,,,75.5,,12.4,15.3,12.6
A,Y20-64,F,NRP,ED0-2,THS_PER,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,2.4
A,Y20-64,F,NRP,ED0-2,THS_PER,EA20,,,,,,,,,,,,,,,,,,,,95.1,69.9,45.0,60.6,54.2,50.5,48.1,47.8,47.8,36.8,7.7,16.5,17.4,9.2,10.1,12.5,14.2,11.8,83.1,53.4,31.8,32.9,32.3
A,Y20-64,F,NRP,ED0-2,THS_PER,EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Y20-64,F,NRP,ED0-2,THS_PER,EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Y20-64,F,NRP,ED0-2,THS_PER,EU27_2020,,,,,,,,,,,,,,,,,,,,96.8,71.7,45.7,61.0,54.9,50.9,48.4,48.4,48.1,37.3,8.8,18.3,23.2,12.5,16.5,15.2,15.6,14.4,85.4,57.4,34.9,36.6,36.3
A,Y20-64,F,NRP,ED0-2,THS_PER,FI,,,,,,,,,,,,,237.8,223.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Y20-64,F,NRP,ED0-2,THS_PER,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,9.2,0.9,2.7,2.4,,,,34.4,12.2,7.9,10.1
A,Y20-64,F,NRP,ED0-2,THS_PER,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Y20-64,F,NRP,ED0-2,THS_PER,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,
