freq,unit,sex,age,isced11,geo\TIME_PERIOD,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,THS_PER,F,Y15-19,ED0-2,AT,,,,,,,,,,,,,39.5,32.8,36.3,43.6,48.6,50.2,46.2,47.3,45.1,29.4,42.2,50.1,58.3,60.2,55.8,52.7,54.5,52.6,49.2,41.4,43.8,38.3,35.2,37.0,34.6,36.8,37.0,36.0,41.6,38.6
A,THS_PER,F,Y15-19,ED0-2,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,THS_PER,F,Y15-19,ED0-2,BE,,,,,,,,,,7.3,5.8,4.2,4.9,4.6,3.9,5.6,10.8,10.0,7.4,6.9,8.9,7.3,8.5,8.3,9.5,8.1,9.0,8.2,10.2,8.8,7.8,7.4,5.1,7.3,10.8,18.7,19.0,15.9,14.6,19.5,23.0,27.3
A,THS_PER,F,Y15-19,ED0-2,BG,,,,,,,,,,,,,,,,,,7.3,,,,,4.0,4.2,4.1,3.7,,,,,,,,,,,,,,,,
A,THS_PER,F,Y15-19,ED0-2,CH,,,,,,,,,,,,,,76.6,76.1,85.8,92.9,90.6,91.2,94.7,93.4,91.3,83.8,88.5,89.9,93.2,98.8,88.5,92.1,86.8,86.6,81.1,83.5,83.0,80.0,81.4,74.0,71.8,68.7,66.8,70.8,69.0
A,THS_PER,F,Y15-19,ED0-2,CY,,,,,,,,,,,,,,,,,0.9,,0.7,0.9,0.8,0.9,,,0.5,0.5,0.6,0.8,,,,,,,,,,,,,,
A,THS_PER,F,Y15-19,ED0-2,CZ,,,,,,,,,,,,,,,,7.9,3.9,5.5,4.4,3.6,2.5,3.2,2.6,2.7,3.2,3.7,3.9,3.1,3.4,3.0,1.7,2.2,3.3,4.2,5.0,4.3,4.4,2.3,4.6,5.8,6.1,8.5
A,THS_PER,F,Y15-19,ED0-2,DE,,,,,,,,,,396.7,417.9,301.5,384.3,384.8,434.7,,418.8,414.2,472.6,460.3,457.5,418.1,453.3,471.9,497.6,473.5,434.3,392.0,354.7,321.6,321.5,333.7,342.2,337.2,340.0,329.0,333.5,315.0,296.6,334.0,350.0,368.5
A,THS_PER,F,Y15-19,ED0-2,DK,,,,,,,,,,92.1,70.2,73.7,75.5,79.6,75.9,83.4,70.6,69.4,34.9,43.6,61.4,73.3,70.6,82.8,79.7,78.6,74.4,70.3,67.3,65.2,61.5,60.7,63.3,65.2,63.7,64.1,65.3,60.5,61.2,68.3,70.6,75.6
A,THS_PER,F,Y15-19,ED0-2,EA20,,,,,,,,,,,,,,,,,,,,1047.1,1034.2,936.4,967.6,984.4,1061.3,1028.4,921.9,825.4,769.1,708.1,694.7,688.3,697.6,703.8,721.8,739.3,753.8,682.6,709.8,810.3,878.3,878.4
