freq,na_item,unit,geo\TIME_PERIOD,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,B1GQ,CP_EUR_HAB,AL,3330.0,3470.0,3590.0,3770.0,4100.0,4540.0,4880.0,4710.0,5420.0,6500.0,,
A,B1GQ,CP_EUR_HAB,AT,37890.0,38640.0,39640.0,40690.0,41760.0,43360.0,44570.0,42650.0,45380.0,49640.0,52330.0,53830.0
A,B1GQ,CP_EUR_HAB,BE,35360.0,36130.0,36860.0,37810.0,38980.0,40210.0,41730.0,40190.0,43680.0,48060.0,51140.0,52370.0
A,B1GQ,CP_EUR_HAB,BG,5870.0,6080.0,6560.0,7070.0,7720.0,8340.0,9250.0,9440.0,10960.0,13310.0,14660.0,16260.0
A,B1GQ,CP_EUR_HAB,CH,65730.0,66920.0,75460.0,74200.0,72810.0,72120.0,75110.0,75280.0,79140.0,89660.0,92760.0,96010.0
A,B1GQ,CP_EUR_HAB,CY,20940.0,20320.0,20810.0,21930.0,23230.0,24660.0,26110.0,24630.0,27850.0,31560.0,33870.0,35730.0
A,B1GQ,CP_EUR_HAB,CZ,15280.0,15140.0,16230.0,17040.0,18700.0,20270.0,21740.0,20980.0,23430.0,26670.0,29330.0,29440.0
A,B1GQ,CP_EUR_HAB,DE,35600.0,36960.0,37950.0,39030.0,40630.0,41800.0,43030.0,42020.0,44910.0,48340.0,50660.0,51830.0
A,B1GQ,CP_EUR_HAB,DK,46240.0,47070.0,47900.0,49270.0,51060.0,51950.0,53040.0,53540.0,58640.0,64430.0,62910.0,65650.0
A,B1GQ,CP_EUR_HAB,EA19,29740.0,30410.0,31400.0,32170.0,33320.0,34350.0,35410.0,33840.0,36750.0,39850.0,42190.0,43640.0
A,B1GQ,CP_EUR_HAB,EA20,29510.0,30170.0,31160.0,31920.0,33080.0,34110.0,35160.0,33610.0,36500.0,39610.0,41950.0,43400.0
A,B1GQ,CP_EUR_HAB,EE,14520.0,15480.0,16000.0,16860.0,18480.0,20040.0,21490.0,20960.0,23650.0,27260.0,28080.0,28990.0
A,B1GQ,CP_EUR_HAB,EL,16240.0,16160.0,16210.0,16190.0,16490.0,16830.0,17270.0,15660.0,17350.0,19570.0,21300.0,22480.0
A,B1GQ,CP_EUR_HAB,ES,22020.0,22380.0,23440.0,24190.0,25160.0,25950.0,26620.0,23850.0,26090.0,28790.0,30980.0,32630.0
A,B1GQ,CP_EUR_HAB,EU27_2020,26250.0,26850.0,27800.0,28490.0,29650.0,30640.0,31700.0,30510.0,33260.0,36140.0,38380.0,39940.0
A,B1GQ,CP_EUR_HAB,FI,37410.0,37690.0,38350.0,39250.0,40790.0,42040.0,43200.0,42740.0,44890.0,47890.0,48920.0,49100.0
A,B1GQ,CP_EUR_HAB,FR,32280.0,32620.0,33200.0,33530.0,34290.0,35080.0,36090.0,34280.0,36920.0,38920.0,41340.0,42590.0
A,B1GQ,CP_EUR_HAB,HR,10590.0,10560.0,10960.0,11610.0,12430.0,13310.0,14130.0,12980.0,15070.0,17540.0,20530.0,22200.0
A,B1GQ,CP_EUR_HAB,HU,10350.0,10810.0,11520.0,11950.0,13080.0,14070.0,15200.0,14370.0,16090.0,17550.0,20560.0,21550.0
A,B1GQ,CP_EUR_HAB,IE,39590.0,43120.0,57980.0,58060.0,63960.0,68530.0,73230.0,75820.0,88070.0,100140.0,99080.0,104510.0
A,B1GQ,CP_EUR_HAB,IS,38460.0,42350.0,49180.0,57900.0,65850.0,65330.0,63430.0,54190.0,61360.0,74950.0,77210.0,79480.0
A,B1GQ,CP_EUR_HAB,IT,26880.0,27120.0,27620.0,28360.0,29070.0,29690.0,30200.0,28100.0,31160.0,33860.0,36330.0,37310.0
A,B1GQ,CP_EUR_HAB,LI,128380.0,133180.0,148440.0,147270.0,148690.0,146100.0,146830.0,142470.0,168450.0,173290.0,186890.0,
A,B1GQ,CP_EUR_HAB,LT,11780.0,12400.0,12860.0,13490.0,14870.0,16300.0,17520.0,17890.0,20190.0,23690.0,25880.0,27350.0
A,B1GQ,CP_EUR_HAB,LU,90030.0,92760.0,95090.0,96230.0,97440.0,98870.0,100420.0,102190.0,113920.0,117100.0,122970.0,127030.0
A,B1GQ,CP_EUR_HAB,LV,10930.0,11430.0,12010.0,12500.0,13400.0,14620.0,15450.0,15370.0,17130.0,19130.0,21030.0,21640.0
A,B1GQ,CP_EUR_HAB,ME,5350.0,5530.0,5790.0,6300.0,6790.0,7340.0,7820.0,6610.0,7880.0,9530.0,11340.0,12260.0
A,B1GQ,CP_EUR_HAB,MK,4240.0,4470.0,4740.0,5070.0,5290.0,5690.0,6000.0,5840.0,6440.0,7230.0,8020.0,8590.0
A,B1GQ,CP_EUR_HAB,MT,19120.0,20620.0,23000.0,23900.0,26820.0,28240.0,28920.0,27870.0,32210.0,33790.0,37770.0,40530.0
A,B1GQ,CP_EUR_HAB,NL,39610.0,40240.0,41270.0,42290.0,43830.0,45690.0,47840.0,46810.0,50850.0,56140.0,58740.0,62380.0
A,B1GQ,CP_EUR_HAB,NO,77920.0,73670.0,67390.0,64060.0,67520.0,70150.0,68270.0,60020.0,78670.0,103990.0,80890.0,80200.0
A,B1GQ,CP_EUR_HAB,PL,10260.0,10750.0,11390.0,11270.0,12360.0,13280.0,14190.0,14310.0,15770.0,17520.0,19980.0,22610.0
A,B1GQ,CP_EUR_HAB,PT,16300.0,16620.0,17280.0,18000.0,18910.0,19840.0,20710.0,19360.0,20800.0,23300.0,25560.0,27060.0
A,B1GQ,CP_EUR_HAB,RO,7150.0,7560.0,8090.0,8500.0,9510.0,10510.0,11520.0,11390.0,12590.0,14740.0,16870.0,18560.0
A,B1GQ,CP_EUR_HAB,RS,5300.0,5190.0,5250.0,5410.0,5820.0,6400.0,6930.0,7110.0,8180.0,9530.0,11350.0,12640.0
A,B1GQ,CP_EUR_HAB,SE,45820.0,44930.0,46160.0,46790.0,47210.0,45770.0,46110.0,46180.0,51260.0,51980.0,50490.0,52490.0
A,B1GQ,CP_EUR_HAB,SI,17500.0,18080.0,18660.0,19380.0,20630.0,21940.0,23050.0,22230.0,24690.0,26970.0,30200.0,31700.0
A,B1GQ,CP_EUR_HAB,SK,13790.0,14130.0,14820.0,15030.0,15620.0,16580.0,17340.0,17270.0,18730.0,20150.0,22640.0,23850.0
A,B1GQ,CP_EUR_HAB,TR,9490.0,9190.0,9950.0,9920.0,9520.0,8190.0,8380.0,7660.0,8400.0,10360.0,12330.0,
A,B1GQ,CP_EUR_HAB,UK,32700.0,35780.0,40620.0,37080.0,35730.0,36440.0,37830.0,,,,,
A,B1GQ,CP_MEUR,AL,9641.0,10020.0,10339.2,10835.1,11770.8,13016.9,13917.9,13379.5,15243.1,18068.1,21730.5,25000.7
A,B1GQ,CP_MEUR,AT,321191.7,330113.5,342083.5,355665.6,367294.9,383234.3,395706.8,380317.9,406231.5,449382.2,477837.3,494087.6
